ID_Persona;NIVEL_DE_EDUCACION;SEXO;SALUD_AUTOPERCIBIDA;ESTADO_CIVIL;ETNIA;Clasificación;INGRESO_AUTOPERCIBIDO;SEGURIDAD_AUTOPERCIBIDA;TRABAJO_AUTOPERCIBIDO;SATISFACCION;I_HOGAR;PERCAPITA;COND_VIDA_DEL_HOGAR;P9010
724765911;3;1.0;9;4;6.0;3ra_edad;10;10;10;10;1443333.33333333;1443333.33333333;2;1
724766011;3;1.0;6;4;6.0;3ra_edad;0;7;3;5;700000;233333.333333333;3;1
724766211;3;1.0;10;6;6.0;3ra_edad;7;10;7;10;722500;361250;2;1
724766221;3;2.0;9;6;6.0;3ra_edad;8;9;9;9;722500;361250;2;1
724766511;3;2.0;9;2;6.0;3ra_edad;7;9;9;9;591666.666666667;147916.666666667;2;1
724766521;3;1.0;9;2;6.0;3ra_edad;99;9;0;10;591666.666666667;147916.666666667;2;1
724766611;3;2.0;8;3;6.0;3ra_edad;10;2;10;10;378333.333333333;126111.111111111;3;2
724766811;3;2.0;5;4;6.0;3ra_edad;7;5;6;6;2075833.33333333;518958.333333333;3;1
724767111;3;2.0;8;3;6.0;3ra_edad;8;9;9;10;482500;241250;2;1
724767121;6;2.0;7;5;6.0;3ra_edad;6;5;8;8;482500;241250;2;1
724767211;9;1.0;10;4;5.0;3ra_edad;10;10;10;10;8968666.66666667;8968666.66666667;1;1
724767351;1;1.0;;;6.0;niño;;;;;659916.666666667;109986.111111111;3;1
724767361;1;1.0;6;3;6.0;3ra_edad;4;6;4;9;659916.666666667;109986.111111111;3;1
724767911;3;1.0;8;6;6.0;3ra_edad;7;9;9;8;1000000;500000;2;1
724767921;3;2.0;8;6;6.0;3ra_edad;7;8;8;9;1000000;500000;2;1
724768031;1;1.0;;;6.0;niño;;;;;1053333.33333333;263333.333333333;2;1
724768151;3;2.0;9;3;6.0;3ra_edad;9;9;9;8;3598083.33333333;719616.666666667;2;1
724768321;3;1.0;6;6;5.0;3ra_edad;7;7;6;5;3500000;1750000;2;1
724768411;3;1.0;6;4;6.0;3ra_edad;5;8;7;8;363333.333333333;363333.333333333;2;1
724768611;4;1.0;7;2;6.0;3ra_edad;6;9;7;8;2503333.33333333;625833.333333333;3;1
724768621;3;2.0;7;2;6.0;3ra_edad;7;8;7;7;2503333.33333333;625833.333333333;3;1
724769311;5;1.0;9;6;5.0;3ra_edad;8;9;9;9;2520000;1550000;2;1
724769321;1;1.0;8;5;6.0;3ra_edad;5;10;10;9;2520000;1550000;2;1
724769881;1;1.0;3;4;6.0;3ra_edad;8;10;10;8;1012083.33333333;126510.416666667;2;1
724769941;2;1.0;;;5.0;niño;;;;;472500;94500;3;1
724769951;1;1.0;;;5.0;niño;;;;;472500;94500;3;1
724770211;1;1.0;9;6;6.0;3ra_edad;8;9;8;9;451666.666666667;150555.555555556;3;1
724770221;1;2.0;9;6;6.0;3ra_edad;99;10;10;10;451666.666666667;150555.555555556;3;1
724770811;3;1.0;7;2;6.0;3ra_edad;6;10;6;8;1725000;562500;3;1
724770821;1;2.0;7;2;6.0;3ra_edad;99;10;8;10;1725000;562500;3;1
724771011;3;1.0;7;2;6.0;3ra_edad;6;10;10;7;1725833.33333333;287638.888888889;3;1
724771711;3;2.0;9;3;6.0;3ra_edad;0;9;0;10;986333.333333333;197266.666666667;4;1
724772211;1;1.0;3;2;6.0;3ra_edad;3;3;3;3;1440000;288000;3;2
724772221;1;2.0;4;2;6.0;3ra_edad;5;5;5;3;1440000;288000;3;2
724773021;3;1.0;6;2;6.0;3ra_edad;5;9;9;9;1049666.66666667;524833.333333333;2;1
724773021;3;1.0;6;2;6.0;3ra_edad;5;9;9;9;1049666.66666667;524833.333333333;2;1
724773021;3;1.0;6;2;6.0;3ra_edad;5;9;9;9;374166.666666667;124722.222222222;2;1
724773021;3;1.0;6;2;6.0;3ra_edad;5;9;9;9;374166.666666667;124722.222222222;2;1
724773121;3;1.0;9;2;6.0;3ra_edad;4;8;6;8;841500;210375;2;1
724774061;3;1.0;;5;6.0;niño;;;;;397083.333333333;66180.5555555555;3;1
724774611;3;1.0;8;2;6.0;3ra_edad;6;6;6;9;1450000;290000;2;1
724774641;3;2.0;7;3;6.0;3ra_edad;7;7;7;8;1450000;290000;2;1
724774651;3;1.0;8;4;6.0;3ra_edad;8;8;8;8;1450000;290000;2;1
724774711;5;2.0;7;3;6.0;3ra_edad;8;8;8;8;1716000;858000;2;1
724774711;5;2.0;7;3;6.0;3ra_edad;8;8;8;8;1716000;858000;2;1
724774711;5;2.0;7;3;6.0;3ra_edad;8;8;8;8;1510000;377500;2;1
724774711;5;2.0;7;3;6.0;3ra_edad;8;8;8;8;1510000;377500;2;1
724774811;8;1.0;10;6;6.0;3ra_edad;6;8;10;10;9588814;1917762.8;2;1
724774821;6;2.0;8;6;6.0;3ra_edad;3;6;10;8;9588814;1917762.8;2;1
724774911;1;1.0;7;6;6.0;3ra_edad;9;9;9;9;1000000;500000;2;1
724774921;3;2.0;9;6;6.0;3ra_edad;9;8;9;9;1000000;500000;2;1
724775211;4;1.0;6;4;6.0;3ra_edad;7;8;7;8;700000;700000;1;1
724775811;1;2.0;8;4;6.0;3ra_edad;7;8;4;7;782500;391250;2;1
724776311;1;1.0;2;6;1.0;3ra_edad;0;0;1;1;1050000;262500;3;2
724776321;3;2.0;2;6;1.0;3ra_edad;1;2;0;2;1050000;262500;3;2
724776911;1;1.0;7;2;6.0;3ra_edad;99;5;1;9;1880000;313333.333333333;3;2
724776921;3;2.0;8;2;6.0;3ra_edad;99;9;0;10;1880000;313333.333333333;3;2
724777131;1;1.0;3;3;6.0;3ra_edad;99;8;0;0;1001350;333783.333333333;3;2
724777571;3;2.0;4;3;6.0;3ra_edad;5;5;3;8;804083.333333333;114869.047619048;3;1
724777711;3;1.0;9;6;6.0;3ra_edad;5;7;5;8;653333.333333333;163333.333333333;3;1
724777721;4;2.0;9;6;6.0;3ra_edad;4;10;5;9;653333.333333333;163333.333333333;3;1
724777811;3;2.0;6;3;6.0;3ra_edad;5;4;6;9;896666.666666667;149444.444444444;2;2
724778111;3;1.0;8;3;6.0;3ra_edad;5;6;7;9;230000;115000;3;2
724778711;5;1.0;8;2;6.0;3ra_edad;7;8;7;7;2399562.33333333;799854.111111111;2;1
724778721;3;2.0;7;2;6.0;3ra_edad;5;8;5;7;2399562.33333333;799854.111111111;2;1
724778811;5;1.0;7;6;6.0;3ra_edad;10;4;5;8;3062833.33333333;1020944.44444444;2;1
724778821;6;2.0;8;6;6.0;3ra_edad;10;10;8;10;3062833.33333333;1020944.44444444;2;1
724779011;1;2.0;1;4;6.0;3ra_edad;99;8;0;10;1137333.33333333;568666.666666667;3;1
724779021;3;1.0;10;4;6.0;3ra_edad;2;10;8;10;1137333.33333333;568666.666666667;3;1
724779311;4;1.0;7;6;6.0;3ra_edad;4;5;7;9;1100000;220000;3;1
724779321;3;2.0;8;6;6.0;3ra_edad;99;8;7;8;1100000;220000;3;1
724779451;3;2.0;4;4;6.0;3ra_edad;4;7;3;4;438333.333333333;87666.6666666667;3;1
724779711;5;1.0;8;5;6.0;3ra_edad;5;5;3;8;525000;525000;2;1
724780611;1;1.0;3;2;6.0;3ra_edad;5;3;2;5;600000;120000;2;2
724780621;1;2.0;6;2;6.0;3ra_edad;2;5;2;7;600000;120000;2;2
724780911;3;1.0;7;3;5.0;3ra_edad;2;4;1;8;275000;275000;3;1
724781011;1;1.0;8;2;6.0;3ra_edad;8;8;8;8;1621250;540416.666666667;2;1
724781411;3;1.0;6;6;6.0;3ra_edad;7;7;8;7;2142500;714166.666666667;2;1
724781711;3;2.0;5;5;6.0;3ra_edad;7;5;2;6;1749166.66666667;291527.777777778;2;2
724781851;1;2.0;5;3;6.0;3ra_edad;5;5;5;5;1451666.66666667;290333.333333333;2;1
724781911;3;2.0;8;4;6.0;3ra_edad;6;8;8;8;2075000;415000;2;1
724782011;3;1.0;5;6;6.0;3ra_edad;4;8;1;10;785000;157000;3;2
724782021;3;2.0;7;6;6.0;3ra_edad;4;9;5;10;785000;157000;3;2
724782141;3;2.0;5;3;6.0;3ra_edad;99;6;4;6;678333.333333333;169583.333333333;2;1
724782211;3;1.0;8;6;6.0;3ra_edad;8;7;7;7;1858333.33333333;464583.333333333;2;1
724782311;3;2.0;5;4;6.0;3ra_edad;5;6;6;5;525000;175000;3;1
724782611;3;2.0;6;3;6.0;3ra_edad;6;7;7;6;1300000;433333.333333333;3;1
724783511;1;2.0;7;2;6.0;3ra_edad;8;8;8;8;1400000;466666.666666667;2;1
724783521;3;1.0;7;2;6.0;3ra_edad;6;6;7;8;1400000;466666.666666667;2;1
724783611;3;2.0;5;3;6.0;3ra_edad;5;5;5;5;303000;303000;2;1
724784111;3;2.0;7;4;6.0;3ra_edad;8;8;8;8;1091666.66666667;545833.333333333;3;1
724784511;1;2.0;4;4;6.0;3ra_edad;1;7;0;5;1433333.33333333;716666.666666667;3;1
724784711;3;1.0;5;2;6.0;3ra_edad;1;7;3;6;894166.666666667;298055.555555556;3;1
724784911;3;1.0;5;2;6.0;3ra_edad;0;8;1;8;2946666.66666667;491111.111111111;2;1
724784921;1;2.0;8;2;6.0;3ra_edad;99;7;2;7;2946666.66666667;491111.111111111;2;1
724785121;1;1.0;3;3;6.0;3ra_edad;1;7;0;6;1685833.33333333;842916.666666667;2;1
724785611;1;1.0;5;6;6.0;3ra_edad;0;6;0;7;416666.666666667;104166.666666667;3;1
724785621;1;2.0;5;6;5.0;3ra_edad;99;7;1;7;416666.666666667;104166.666666667;3;1
724785911;3;2.0;7;4;6.0;3ra_edad;6;5;5;7;1418333.33333333;236388.888888889;3;1
724786111;1;1.0;6;6;6.0;3ra_edad;8;5;6;8;876666.666666667;292222.222222222;2;1
724786121;3;2.0;7;6;6.0;3ra_edad;8;5;6;7;876666.666666667;292222.222222222;2;1
724786211;3;1.0;3;6;6.0;3ra_edad;0;8;0;2;861666.666666667;430833.333333333;3;1
724786211;3;1.0;3;6;6.0;3ra_edad;0;8;0;2;861666.666666667;430833.333333333;2;1
724786211;3;1.0;3;6;6.0;3ra_edad;0;8;0;2;1057500;264375;3;1
724786211;3;1.0;3;6;6.0;3ra_edad;0;8;0;2;1057500;264375;2;1
724786221;5;2.0;5;6;6.0;3ra_edad;2;8;1;5;861666.666666667;430833.333333333;3;1
724786221;5;2.0;5;6;6.0;3ra_edad;2;8;1;5;861666.666666667;430833.333333333;2;1
724786221;5;2.0;5;6;6.0;3ra_edad;2;8;1;5;1057500;264375;3;1
724786221;5;2.0;5;6;6.0;3ra_edad;2;8;1;5;1057500;264375;2;1
724786611;3;2.0;7;3;6.0;3ra_edad;8;8;2;2;1583750;226250;3;1
724786911;1;1.0;6;6;6.0;3ra_edad;7;5;5;9;816666.666666667;272222.222222222;2;1
724787351;3;2.0;5;3;6.0;3ra_edad;2;7;2;7;1589500;317900;3;1
724787511;5;1.0;6;6;6.0;3ra_edad;3;9;5;8;4270833.33333333;2135416.66666667;2;1
724787521;5;2.0;5;6;6.0;3ra_edad;1;9;1;4;4270833.33333333;2135416.66666667;2;1
724788011;6;1.0;6;6;6.0;3ra_edad;7;5;6;10;5429166.66666667;2714583.33333333;2;1
724788021;5;2.0;9;6;6.0;3ra_edad;5;5;4;8;5429166.66666667;2714583.33333333;2;1
724788211;4;2.0;6;5;6.0;3ra_edad;3;8;4;7;897000;179400;2;1
724788221;4;2.0;6;5;6.0;3ra_edad;3;8;3;8;897000;179400;2;1
724788241;4;2.0;7;4;6.0;3ra_edad;2;8;4;8;897000;179400;2;1
724788511;5;1.0;9;6;6.0;3ra_edad;9;9;9;9;8542500;2847500;2;1
724788521;5;2.0;10;6;6.0;3ra_edad;10;10;10;10;8542500;2847500;2;1
724789111;3;1.0;3;2;6.0;3ra_edad;7;8;7;6;391666.666666667;195833.333333333;3;1
724789121;3;2.0;7;2;6.0;3ra_edad;5;7;4;6;391666.666666667;195833.333333333;3;1
724789211;2;1.0;10;6;6.0;3ra_edad;3;10;10;9;833333.333333333;277777.777777778;2;1
724789221;5;2.0;10;6;6.0;3ra_edad;99;10;10;10;833333.333333333;277777.777777778;2;1
724789231;3;1.0;9;5;6.0;3ra_edad;5;9;10;10;833333.333333333;277777.777777778;2;1
724789521;3;1.0;10;2;6.0;3ra_edad;6;10;9;10;1808000;452000;2;1
724789611;1;2.0;5;4;6.0;3ra_edad;4;8;4;6;300833.333333333;300833.333333333;3;1
724789711;3;1.0;7;2;1.0;3ra_edad;8;8;10;6;1093333.33333333;273333.333333333;2;1
724789811;3;1.0;6;6;6.0;3ra_edad;3;7;5;8;1336666.66666667;190952.380952381;3;1
724789821;3;2.0;4;6;6.0;3ra_edad;6;7;7;8;1336666.66666667;190952.380952381;3;1
724790061;1;1.0;6;4;1.0;3ra_edad;99;8;10;6;746250;124375;3;1
724790511;1;1.0;10;2;6.0;3ra_edad;4;10;10;10;1006833.33333333;201366.666666667;1;1
724790551;1;2.0;10;4;6.0;3ra_edad;99;10;10;10;1006833.33333333;201366.666666667;1;1
724790711;3;2.0;3;4;6.0;3ra_edad;5;6;7;5;1708416.66666667;569472.222222222;2;1
724790931;3;2.0;7;4;5.0;3ra_edad;0;5;6;8;630000;157500;2;1
724791511;1;1.0;8;4;6.0;3ra_edad;8;8;7;8;120833.333333333;120833.333333333;4;1
724792211;1;2.0;2;3;5.0;3ra_edad;0;0;1;3;58333.3333333333;29166.6666666667;4;2
724792611;3;1.0;7;2;6.0;3ra_edad;7;7;7;7;840000;210000;2;1
724792711;3;1.0;7;6;6.0;3ra_edad;9;8;8;8;1100000;550000;2;1
724793011;3;1.0;7;2;6.0;3ra_edad;7;7;7;7;248333.333333333;124166.666666667;3;1
724793021;2;2.0;6;2;6.0;3ra_edad;8;6;5;6;248333.333333333;124166.666666667;3;1
724793111;3;2.0;10;5;1.0;3ra_edad;4;10;10;10;263750;65937.5;2;1
724793211;5;1.0;6;2;6.0;3ra_edad;5;7;7;7;1390000;695000;2;1
724793711;1;2.0;9;3;6.0;3ra_edad;9;8;8;1;460000;76666.6666666667;3;1
724793811;3;2.0;8;6;6.0;3ra_edad;8;8;8;9;2150000;716666.666666667;2;1
724793821;3;1.0;9;6;6.0;3ra_edad;9;9;8;9;2150000;716666.666666667;2;1
724794011;5;2.0;7;4;6.0;3ra_edad;7;7;7;6;1393166.66666667;278633.333333333;2;1
724794031;3;2.0;7;4;6.0;3ra_edad;7;6;6;7;1393166.66666667;278633.333333333;2;1
724794411;1;2.0;8;3;6.0;3ra_edad;8;8;8;9;716666.666666667;716666.666666667;2;1
724795011;1;1.0;8;2;6.0;3ra_edad;8;8;8;9;909333.333333333;303111.111111111;2;1
724795411;1;1.0;9;2;6.0;3ra_edad;8;7;8;8;1158333.33333333;386111.111111111;2;1
724795611;1;1.0;7;3;6.0;3ra_edad;2;7;7;7;538333.333333333;269166.666666667;2;1
724795811;3;2.0;9;4;5.0;3ra_edad;8;8;8;9;583333.333333333;291666.666666667;2;1
724795821;3;1.0;8;5;6.0;3ra_edad;9;8;9;9;583333.333333333;291666.666666667;2;1
724795941;3;2.0;7;3;6.0;3ra_edad;99;8;10;10;453333.333333333;75555.5555555555;2;1
724796231;3;2.0;7;4;6.0;3ra_edad;7;7;8;8;2616666.66666667;872222.222222222;2;1
724796311;3;2.0;10;3;6.0;3ra_edad;10;10;10;10;711666.666666667;355833.333333333;2;2
724797811;4;1.0;8;2;1.0;3ra_edad;8;8;8;7;1420000;355000;3;1
724797911;6;2.0;10;6;6.0;3ra_edad;10;7;10;10;1950833.33333333;650277.777777778;2;2
724797921;5;1.0;9;6;6.0;3ra_edad;10;6;10;10;1950833.33333333;650277.777777778;2;2
724798011;3;2.0;8;2;6.0;3ra_edad;4;10;7;8;1743333.33333333;348666.666666667;2;1
724798021;1;1.0;8;2;6.0;3ra_edad;4;10;8;8;1743333.33333333;348666.666666667;2;1
724798211;8;2.0;8;4;6.0;3ra_edad;10;6;10;10;7624000;3812000;2;2
724798611;5;1.0;7;6;1.0;3ra_edad;4;10;4;8;284166.666666667;71041.6666666667;3;1
724798711;1;1.0;5;6;6.0;3ra_edad;5;10;10;10;1523750;304750;3;1
724798721;1;2.0;6;6;6.0;3ra_edad;5;10;10;10;1523750;304750;3;1
724799311;3;2.0;7;6;6.0;3ra_edad;99;6;6;8;21900000;10950000;2;1
724799411;5;2.0;7;5;6.0;3ra_edad;7;7;6;7;1900000;633333.333333333;2;1
724799421;1;2.0;5;3;6.0;3ra_edad;99;5;5;7;1900000;633333.333333333;2;1
724799871;3;2.0;7;4;6.0;3ra_edad;7;7;8;8;11313416.6666667;1414177.08333333;2;1
724800011;4;2.0;7;2;6.0;3ra_edad;4;8;7;7;160000;80000;2;1
724800021;3;2.0;7;3;6.0;3ra_edad;99;7;6;7;160000;80000;2;1
724800311;3;2.0;7;2;5.0;3ra_edad;99;7;6;7;433333.333333333;216666.666666667;2;1
